"Reference","Qty","Value","Footprint","LCSC Part #","LCSC"
"C1","1","10uF","PCM_JLCPCB:C_0603","C1713","C96446"
"C2,C7","2","100uF","Capacitor_SMD:C_Elec_6.3x7.7","C7432790","C7432790"
"C3","1","100nF","PCM_JLCPCB:C_0603","C66501","C14663"
"C4","1","100pF","PCM_JLCPCB:C_0603","C519407","C14858"
"C5,C6","2","22uF","PCM_JLCPCB:C_0805","C98190","C45783"
"C22,C23","2","10uF","PCM_JLCPCB:C_0603","C96446","C96446"
"C24","1","1uF","PCM_JLCPCB:C_0603","C15849","C15849"
"D1,D2","2","1N5819WS","Diode_SMD:D_SOD-323","C2828425","C2828425"
"D3","1","SD12CT1G","PCM_JLCPCB:D_SOD-123FL","C2985489","C19077508"
"F2","1","CFS12V6T2R0","Fuse:Fuse_1206_3216Metric","C163132","C163132"
"J2","1","USB_C_Receptacle_USB2.0_16P","PCM_JLCPCB:TYPE-C-SMD_HX-TYPE-C-16PIN","C2927039","C2927039"
"J3","1","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","C3010534","C3010534"
"J5,J6,J7","3","Conn_01x02_Pin","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","",""
"L1,L3","2","33uH","Inductor_SMD:L_7.3x7.3_H4.5","C5189937","C5189937"
"L2","1","4u7H","Inductor_SMD:L_7.3x7.3_H4.5","C5189748","C5189748"
"Q1","1","S8050","PCM_JLCPCB:Q_SOT-23","C18221467","C364312"
"R1,R7","2","10K","PCM_JLCPCB:R_0603","C25804","C25804"
"R2,R5","2","1K","PCM_JLCPCB:R_0603","C22548","C21190"
"R3,R13","2","0.33R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C341598","C341598"
"R4,R14","2","0.2R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C160920","C160920"
"R6","1","52K3","PCM_JLCPCB:R_0603","C2933235","C23196"
"R8,R15","2","0.18R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C912784","C912784"
"R9,R16","2","0.15R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C2991747","C2991747"
"R10,R17","2","0.13R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C2683382","C2683382"
"R11,R18","2","0.11R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C82532","C82532"
"R12,R19","2","0.1R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C188071","C188071"
"SW1","1","SW_SPDT","CustomSwitchFootprint:SS-12D11-G7","C17179526","C17179526"
"U1,U2","2","PT4115","LED_Driver_Global:SOT-89-5","C347356","C347356"
"U3","1","AP62201WU-7","Buck_Converters_Global:TSOT26-WU_DIO","C3194236","C3194236"
"U7","1","LM2596 Modul","Buck_Converters_Global:YAAJ_DCDC_StepDown_LM2596","",""
"U8","1","AMS1117-3.3","PCM_JLCPCB:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","C6186","C6186"
"U9","1","CH224K","Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm","C970725","C970725"
